codigo_ibge,41,42,43
4212270,,1.0,21.0
4212304,13.0,,103.0
4212403,2.0,,17.0
4212502,83.0,4.0,309.0
4212601,1.0,,24.0
4212650,4.0,2.0,43.0
4212700,3.0,1.0,30.0
4212809,152.0,13.0,272.0
4212908,57.0,5.0,349.0
4213005,2.0,3.0,27.0
4213104,25.0,1.0,66.0
4213153,4.0,,28.0
4213203,79.0,5.0,323.0
4213302,1.0,1.0,19.0
4213351,4.0,,16.0
4213401,10.0,1.0,99.0
4213500,95.0,6.0,378.0
4213609,20.0,1.0,265.0
4213708,6.0,7.0,141.0
4213807,3.0,2.0,39.0
4213906,2.0,,16.0
4214003,20.0,1.0,202.0
4214102,1.0,,25.0
4214151,,3.0,17.0
4214201,19.0,1.0,127.0
4214300,9.0,,42.0
4214409,1.0,3.0,51.0
4214508,5.0,,48.0
4214607,3.0,1.0,116.0
4214706,14.0,1.0,87.0
4214805,176.0,15.0,684.0
4214904,4.0,1.0,30.0
4215000,37.0,9.0,314.0
4215059,,,14.0
4215075,,,35.0
4215109,12.0,2.0,102.0
4215208,5.0,2.0,17.0
4215307,4.0,2.0,94.0
4215356,1.0,,36.0
4215406,4.0,4.0,62.0
4215455,7.0,1.0,110.0
4215505,10.0,7.0,117.0
4215554,,,31.0
4215604,,1.0,22.0
4215653,1.0,,46.0
4215679,1.0,,25.0
4215687,1.0,1.0,10.0
4215695,,,8.0
4215703,83.0,12.0,305.0
4215752,2.0,,17.0
4215802,95.0,21.0,706.0
4215901,1.0,,16.0
4216008,22.0,9.0,166.0
4216057,,4.0,18.0
4216107,11.0,1.0,107.0
4216206,62.0,14.0,428.0
4216255,3.0,1.0,112.0
4216305,92.0,5.0,250.0
4216354,4.0,,34.0
4216404,2.0,,42.0
4216503,18.0,1.0,143.0
4216602,872.0,81.0,2226.0
4216701,12.0,2.0,108.0
4216800,2.0,3.0,29.0
4216909,34.0,5.0,308.0
4217006,23.0,2.0,98.0
4217105,1.0,1.0,10.0
4217154,,1.0,9.0
4217204,65.0,18.0,551.0
4217253,7.0,,54.0
4217303,7.0,,115.0
4217402,27.0,5.0,205.0
4217501,33.0,,178.0
4217550,3.0,1.0,31.0
4217600,26.0,3.0,96.0
4217709,24.0,3.0,233.0
4217758,2.0,,22.0
4217808,14.0,2.0,191.0
4217907,1.0,1.0,71.0
4217956,,,12.0
4218004,171.0,12.0,400.0
4218103,5.0,1.0,34.0
4218202,144.0,9.0,490.0
4218251,5.0,,50.0
4218301,10.0,5.0,126.0
4218350,5.0,,19.0
4218400,6.0,,36.0
4218509,13.0,1.0,147.0
4218608,6.0,,51.0
4218707,272.0,16.0,924.0
4218756,1.0,,67.0
4218806,20.0,2.0,85.0
4218855,1.0,1.0,28.0
4218905,13.0,,88.0
4218954,2.0,1.0,20.0
4219002,19.0,6.0,109.0
4219101,5.0,,39.0
4219150,2.0,1.0,12.0
4219176,1.0,,18.0
4219200,6.0,,51.0
4219309,94.0,13.0,610.0
4219358,,,27.0
4219408,2.0,,35.0
4219507,113.0,25.0,838.0
4219606,4.0,,28.0
4219705,61.0,14.0,266.0
4219853,2.0,1.0,53.0
4220000,41.0,2.0,132.0
