Cod_setor,domi2V050,domi2V051,domi2V052,domi2V053,domi2V054,domi2V055,domi2V056,domi2V057,domi2V058,domi2V059
420040810000006,3,4,10,11,4,9,2,1,0,0
420050705000001,35,90,65,46,19,5,2,1,0,0
420050705000002,18,33,41,24,14,3,2,0,0,0
420050705000003,25,60,63,60,30,10,5,1,1,0
420050705000004,5,19,16,18,5,2,1,0,0,0
420050705000005,9,11,6,11,3,1,3,1,0,1
420050705000006,41,91,64,61,18,2,1,0,1,0
420050705000007,17,45,47,27,17,6,3,1,0,2
420050705000008,12,42,37,33,14,6,2,0,0,0
420050705000009,13,42,51,38,10,8,1,0,0,0
420050705000010,11,43,44,31,11,5,1,0,0,0
420050705000011,13,45,42,25,16,5,0,0,0,0
420050705000012,10,38,24,28,12,3,1,0,0,0
420050705000013,2,9,5,7,4,4,1,0,0,0
420055605000001,15,38,57,50,16,3,1,0,0,0
420055605000002,4,30,36,30,14,5,2,1,0,0
420055605000003,6,16,28,13,8,4,1,0,1,0
420055605000004,7,19,16,17,13,4,2,0,0,0
420055605000005,3,18,21,23,16,8,0,1,0,0
420055605000006,2,9,10,8,3,0,2,1,0,0
420055605000007,11,25,46,33,21,4,2,0,0,0
420060605000001,23,42,57,52,30,11,3,0,1,0
420060605000002,26,47,44,57,21,7,5,1,1,0
420060605000003,31,61,75,78,21,10,6,0,0,1
420060605000004,19,35,69,62,29,10,4,1,1,2
420060605000005,16,36,29,28,25,7,1,1,0,0
420060605000006,7,6,20,12,8,3,3,1,0,0
420060605000007,14,15,19,26,9,3,2,0,1,0
420060605000008,2,5,8,9,2,1,1,0,0,0
420060605000009,17,42,35,32,15,5,1,3,0,0
420060605000010,25,75,77,67,23,5,2,3,0,0
420070505000001,35,98,96,65,30,6,2,2,0,0
420070505000002,23,52,77,43,17,7,3,1,0,0
420070505000003,33,98,71,66,24,7,2,1,1,0
420070505000004,16,65,86,48,25,3,4,1,0,0
420070505000005,20,49,78,48,31,4,6,2,1,0
420070505000006,8,38,47,26,18,4,3,0,0,0
420070505000007,5,20,18,9,2,2,1,0,0,0
420070505000008,11,32,40,50,15,6,2,0,0,1
420070510000001,1,9,8,1,3,2,0,0,0,0
420070510000002,12,41,38,46,13,7,4,3,0,0
420070510000003,6,16,30,27,9,9,1,0,0,0
420070510000004,18,65,57,54,25,10,2,2,0,1
420070510000005,13,38,37,40,18,9,4,2,1,1
420070515000001,8,9,17,11,2,2,0,0,0,0
420070515000002,5,17,18,14,6,3,0,0,0,0
420070515000003,7,32,38,55,14,8,4,2,1,0
420070520000001,4,8,6,4,1,1,0,0,0,0
420070520000002,29,74,63,44,12,3,3,0,0,0
420070520000003,4,12,10,12,2,2,1,0,0,0
420075405000001,34,73,51,40,16,3,2,0,0,0
420075405000002,15,31,20,14,6,2,1,0,0,0
420075405000003,7,25,18,7,15,3,2,0,0,0
420075405000004,16,41,27,28,8,3,1,0,0,0
420075405000005,6,25,23,18,10,3,1,0,0,0
420075405000006,6,16,24,18,15,2,1,1,0,0
420080405000001,35,73,58,54,23,4,2,0,1,0
420080405000002,50,78,90,69,29,9,1,1,0,0
420080405000003,38,71,89,59,24,6,2,2,0,1
420080405000004,9,22,16,23,15,11,3,1,0,0
420080405000005,9,28,34,30,18,10,3,0,0,0
420080405000006,18,58,66,55,25,16,4,1,2,1
420080405000007,18,27,48,38,18,9,2,0,1,0
420080405000008,12,20,33,20,12,5,0,1,0,0
420080405000009,11,28,33,28,13,8,0,1,0,0
420080405000010,7,13,19,21,12,5,1,2,0,0
420080405000011,6,23,27,13,8,4,1,4,1,1
420080405000012,3,18,21,19,7,5,2,1,0,0
420090305000001,33,79,84,58,25,8,3,0,1,0
420090305000002,1,3,2,0,1,0,0,0,0,0
420090305000003,19,49,48,25,24,6,4,0,0,0
420090305000004,18,41,41,39,14,8,2,0,0,1
420090305000005,24,49,49,48,21,14,5,0,0,0
420090310000001,5,16,9,7,2,0,1,0,0,0
420090310000002,16,31,48,44,24,3,5,1,0,0
420090310000003,4,20,26,32,13,5,1,1,0,1
420090310000004,9,53,35,35,27,9,3,1,0,1
420090315000001,3,6,12,2,3,1,1,0,0,0
420090315000002,15,45,32,31,23,7,2,0,0,1
420090315000003,21,31,22,13,12,6,2,0,0,0
420100005000001,24,52,61,43,14,3,0,0,0,0
420100005000002,44,98,97,67,24,4,3,0,1,0
420100005000003,30,87,104,73,39,15,6,2,1,0
420100005000004,34,67,50,54,16,7,1,0,0,0
420100005000005,27,67,74,55,29,19,5,6,2,1
420100005000006,11,16,11,15,5,1,1,0,0,0
420100005000007,8,26,30,11,5,4,1,0,1,0
420100005000008,6,24,26,22,16,11,1,0,0,0
420100005000009,9,15,17,12,5,4,2,0,0,1
420100005000010,4,24,25,14,9,2,1,1,0,0
420100005000011,9,21,21,15,7,8,3,0,0,0
420100005000012,4,18,20,23,7,1,1,1,0,0
420100005000013,7,14,15,12,6,6,1,0,0,1
420100005000014,7,29,13,19,8,5,1,0,0,0
420100005000015,8,19,26,8,11,3,4,3,0,0
420100005000016,0,0,0,0,0,0,0,0,0,0
420100005000018,2,8,1,2,3,2,1,0,0,0
420100005000019,0,0,0,0,0,0,0,0,0,0
420100005000020,1,2,1,0,1,1,0,0,0,0
420100005000021,0,0,0,0,0,0,0,0,0,0
420100005000022,0,0,0,0,0,0,0,0,0,0
420100005000024,0,0,0,0,0,0,0,0,0,0
420100015000001,7,7,10,6,3,0,1,0,2,0
420100015000002,6,23,21,22,11,2,2,1,2,0
420100015000003,5,25,18,18,7,0,0,1,0,0
420100015000004,1,10,17,11,8,3,1,0,0,0
420100015000005,15,32,29,25,6,8,3,2,0,1
420100015000006,12,23,34,21,17,2,5,0,0,0
420110905000001,35,44,60,33,18,4,0,0,0,0
420110905000002,32,57,62,38,16,1,2,0,0,0
420110905000003,8,18,17,14,5,1,0,0,0,0
420110905000004,14,23,23,22,5,1,0,0,1,0
420110905000005,4,13,21,13,7,2,0,0,0,0
420110905000006,9,24,33,17,15,5,0,0,0,0
420110905000007,9,17,22,11,9,0,0,0,0,0
420110905000008,9,19,26,15,9,3,2,1,0,0
420110905000009,11,14,27,12,14,1,1,2,0,0
420110905000010,24,27,21,25,18,8,1,0,0,0
420120805000001,45,110,120,107,36,7,2,0,1,0
420120805000002,27,57,82,82,42,16,2,1,0,0
420120805000003,28,101,130,97,42,10,2,4,0,0
420120805000004,8,36,34,43,24,7,0,0,0,0
420120805000005,20,70,78,76,41,16,4,1,0,0
420120805000006,22,82,76,91,43,10,5,2,0,0
420120805000007,7,19,23,33,11,5,0,0,0,0
420120805000008,20,52,55,60,26,18,4,0,0,0
420125705000001,8,23,24,33,9,6,3,1,0,0
420125705000002,31,60,72,46,21,11,2,1,0,0
420125705000003,21,51,50,45,9,4,2,0,0,0
420125705000004,28,82,78,71,24,12,2,0,0,1
420125705000005,12,33,35,21,14,9,0,0,1,0
420125705000006,30,85,74,66,28,10,3,2,0,0
420125705000007,13,48,34,28,12,5,2,2,0,0
420125705000008,8,22,32,17,10,5,2,0,0,0
420125705000009,12,20,39,24,12,4,3,1,0,0
420125705000010,8,27,22,15,8,3,0,2,1,2
420125705000011,8,19,17,29,9,8,1,0,0,0
420125705000012,21,34,50,41,20,11,3,0,1,0
420125705000013,32,51,63,50,31,8,7,0,0,0
420125705000014,12,40,45,25,26,9,4,2,0,1
420125705000015,18,57,58,43,21,8,5,0,0,1
420125705000016,0,0,0,0,0,0,0,0,0,0
420125705000018,0,0,0,0,0,0,0,0,0,0
420125705000020,25,49,67,40,21,7,2,1,1,1
420125705000021,21,66,60,48,15,2,3,0,0,0
420127305000001,24,61,52,35,11,4,1,1,0,0
420127305000002,5,28,33,22,11,9,6,0,1,0
420127305000003,6,41,48,30,8,3,0,0,0,0
420127305000004,2,19,21,24,8,5,1,0,0,0
420127305000005,25,54,52,39,14,2,1,0,1,0
420127305000006,10,29,31,29,9,5,7,0,0,0
420127310000001,7,15,11,21,9,3,1,0,0,0
420127310000002,8,35,42,33,7,5,1,0,0,0
420127310000003,10,42,53,37,9,6,3,1,1,0
420127310000004,11,55,41,22,15,3,3,1,0,0
420130705000001,8,18,23,25,12,3,3,4,1,0
420130705000002,4,0,0,4,0,0,1,2,0,0
420130705000003,27,43,65,54,32,15,8,3,0,3
420130705000004,17,34,51,47,27,15,7,3,0,0
420130705000005,0,1,4,2,1,4,0,1,0,0
420130705000006,20,34,52,54,16,5,0,4,0,1
420130705000007,42,66,60,50,38,18,13,3,5,3
420130705000008,23,48,50,51,21,12,7,3,2,1
420130705000009,28,62,63,72,37,20,10,9,1,0
420130705000010,22,52,52,60,40,24,7,4,0,5
420130705000011,16,38,49,49,23,13,3,1,0,0
420130705000012,33,72,94,79,35,17,8,3,0,0
420130705000013,55,179,213,173,79,45,14,10,4,3
420130705000014,9,41,54,53,30,15,7,3,0,1
420130705000015,37,95,101,94,45,30,12,4,2,1
420130705000016,35,90,111,89,44,28,9,5,3,3
420130705000017,1,2,2,1,1,0,0,0,0,0
420130705000018,17,41,40,31,14,5,7,0,1,0
420130705000019,1,4,4,2,1,0,0,0,0,0
420130705000020,0,4,6,4,2,1,0,0,0,0
420130705000023,14,94,100,84,34,21,6,2,0,2
420130705000025,2,3,5,2,2,1,0,1,0,0
420130705000026,4,4,7,8,1,1,1,0,0,0
420130705000027,3,0,1,1,1,2,0,0,0,0
420130705000028,8,10,11,15,9,2,2,2,0,0
420130705000029,16,28,51,27,14,7,2,0,0,0
420130705000031,1,0,2,2,3,2,0,2,0,3
420130705000032,33,47,53,46,28,9,6,3,0,1
420130705000033,26,39,40,28,11,5,3,1,0,0
420130705000034,19,42,46,45,23,15,5,3,0,0
420130705000035,17,27,40,28,17,8,4,2,1,1
420130705000036,20,80,109,59,30,13,3,3,0,0
420130705000037,12,49,58,52,32,18,6,4,1,1
420130705000038,3,7,1,1,2,1,0,1,0,1
420130705000040,7,7,13,10,7,2,3,1,0,0
420130705000041,0,0,0,0,0,0,0,0,0,0
420130705000042,10,20,22,21,11,3,1,0,0,0
420130705000045,0,0,0,0,0,0,0,0,0,0
420130705000047,0,0,0,0,0,0,0,0,0,0
420130705000048,0,0,0,0,0,0,0,0,0,0
420130705000053,2,6,2,5,3,4,0,0,0,0
420130705000058,0,0,0,0,0,0,0,0,0,0
420130705000059,4,2,0,1,1,0,0,0,0,0
420130705000061,0,0,0,0,0,0,0,0,0,0
420130705000063,2,2,6,3,1,0,0,0,0,0
420130710000001,37,102,91,79,33,21,9,6,3,0
420130710000003,12,27,31,28,15,5,4,1,0,1
420130710000004,23,65,43,31,12,7,6,0,0,0
420130710000005,0,0,0,0,0,0,0,0,0,0
420130710000006,0,0,0,0,0,0,0,0,0,0
420140605000001,45,80,64,67,21,6,1,1,0,0
420140605000002,66,107,68,47,10,1,1,0,0,0
420140605000003,76,104,103,44,14,0,0,0,0,0
420140605000004,37,53,77,45,25,7,3,0,0,3
420140605000005,32,73,72,63,18,7,7,1,0,1
420140605000006,48,79,79,55,29,3,2,1,0,0
420140605000007,23,51,43,44,21,7,2,0,0,0
420140605000008,40,79,78,76,20,7,3,0,0,0
420140605000009,52,90,92,63,25,8,4,1,0,0
420140605000010,32,55,84,62,29,10,4,1,1,2
420140605000011,47,84,114,100,38,16,4,3,1,0
420140605000012,34,63,85,50,21,6,2,0,0,0
420140605000013,26,68,88,53,16,8,2,1,0,1
420140605000014,18,46,68,58,19,3,2,2,1,0
420140605000015,27,67,78,70,37,13,8,0,0,1
420140605000016,51,94,103,86,22,9,7,0,1,0
420140605000017,16,61,91,47,14,4,4,0,0,0
420140605000018,38,86,114,78,31,8,6,0,2,2
420140605000019,8,48,49,50,14,9,2,3,1,0
420140605000020,13,94,82,56,23,9,2,0,0,0
420140605000021,15,35,46,35,11,5,3,2,0,0
420140605000022,21,57,75,57,15,7,1,0,0,0
420140605000023,35,69,80,65,16,8,1,1,1,0
420140605000024,40,60,52,45,25,2,2,0,1,0
420140605000025,39,90,79,82,31,8,3,0,0,0
420140605000026,12,56,73,71,23,8,4,3,2,0
420140605000027,27,84,92,81,29,7,1,4,0,0
420140605000028,20,60,71,53,20,4,2,1,1,0
420140605000029,27,62,74,59,17,8,3,1,0,1
420140605000030,54,78,57,34,16,1,0,0,0,0
420140605000031,9,30,31,27,15,11,2,1,1,1
420140605000032,16,34,36,26,13,0,1,0,0,0
420140605000033,23,86,101,75,42,17,3,1,2,1
420140605000034,17,34,40,30,22,4,0,0,0,2
420140605000035,18,20,30,33,13,6,1,0,1,0
420140605000036,19,38,65,32,11,4,2,1,1,0
420140605000037,4,4,6,13,2,0,0,0,0,0
420140605000038,7,16,13,16,6,0,0,0,0,0
420140605000039,20,71,68,57,25,8,3,2,0,0
420140605000040,27,58,52,58,24,15,4,2,1,0
420140605000041,23,57,61,62,21,7,1,0,0,0
420140605000042,23,51,55,34,22,9,2,0,0,0
