end_cod_mun,cod_cnae,cod_classe,nm_grupo,codigo_siafi,codigo_ibge,descricao
8105,4120400,41.20-4,Construção de edifícios,8105,4205407,FLORIANOPOLIS
8105,4222701,42.22-7,Obras de infraestrutura para energia elétrica telecomunicações água esgoto e transporte por dutos,8105,4205407,FLORIANOPOLIS
8179,4120400,41.20-4,Construção de edifícios,8179,4209102,JOINVILLE
8251,4110700,41.10-7,Incorporação de empreendimentos imobiliários,8251,4212809,BALNEARIO PICARRAS
8319,4110700,41.10-7,Incorporação de empreendimentos imobiliários,8319,4216206,SAO FRANCISCO DO SUL
8161,4399101,43.99-1,Outros serviços especializados para construção,8161,4208203,ITAJAI
8033,4211101,42.11-1,Construção de rodovias ferrovias obras urbanas e obras-de-arte especiais,8033,4201703,ASCURRA
